date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2021-01-29 00:00:00,DIS,168.8,169.81,165.79,168.17,2156185648.36,0,171.88,-3.71,-2.16
2021-01-28 00:00:00,DIS,166.17,172.88,165.95,171.88,2461190562.54,0,163.03,8.85,5.43
2021-01-27 00:00:00,DIS,165.01,166.34,160.52,163.03,2971735668.54,0,169.56,-6.53,-3.85
2021-01-26 00:00:00,DIS,173.0,173.345,169.05,169.56,1280529653.96,0,171.89,-2.33,-1.36
2021-01-25 00:00:00,DIS,171.89,173.11,168.77,171.89,1339490878.62,0,172.78,-0.89,-0.52
2021-01-22 00:00:00,DIS,174.0,175.25,171.89,172.78,1646595559.3,0,171.28,1.5,0.88
2021-01-21 00:00:00,DIS,173.24,175.0,171.02,171.28,1449116025.82,0,173.64,-2.36,-1.36
2021-01-20 00:00:00,DIS,175.22,177.88,173.0,173.64,1714710720.67,0,172.26,1.38,0.8
2021-01-19 00:00:00,DIS,172.1,173.71,171.44,172.26,1351357466.53,0,171.44,0.82,0.48
2021-01-15 00:00:00,DIS,172.95,174.19,170.17,171.44,2097635223.53,0,173.43,-1.99,-1.15
2021-01-14 00:00:00,DIS,177.01,178.35,173.4,173.43,1567460438.44,0,176.12,-2.69,-1.53
2021-01-13 00:00:00,DIS,174.4,177.73,173.74,176.12,1204147738.45,0,175.99,0.13,0.07
2021-01-12 00:00:00,DIS,177.3,178.32,174.861,175.99,1468374572.79,0,179.09,-3.1,-1.73
2021-01-11 00:00:00,DIS,177.75,181.255,177.35,179.09,1158173221.33,0,178.69,0.4,0.22
2021-01-08 00:00:00,DIS,178.81,180.02,176.6,178.69,1406091032.62,0,178.58,0.11,0.06
2021-01-07 00:00:00,DIS,179.5,179.95,177.575,178.58,1304763167.31,0,179.12,-0.54,-0.3
2021-01-06 00:00:00,DIS,178.32,181.61,177.284,179.12,1351031119.06,0,178.44,0.68,0.38
2021-01-05 00:00:00,DIS,176.2,180.34,176.2,178.44,1387444129.2,0,177.68,0.76,0.43
2021-01-04 00:00:00,DIS,182.255,182.59,174.73,177.68,2380951903.74,0,181.18,-3.5,-1.93
2020-12-31 00:00:00,DIS,181.22,183.4,180.27,181.18,1283981809.75,0,181.17,0.01,0.01
2020-12-30 00:00:00,DIS,178.5,183.4,178.37,181.17,2119234804.94,0,177.3,3.87,2.18
2020-12-29 00:00:00,DIS,180.01,180.2,176.22,177.3,1221323018.14,0,178.86,-1.56,-0.87
