0
MSFT
INTC
EBAY
XOM
AAPL
UAL
JPM
DAL
DKNG
USB
WFC
BMY
CSCO
PFE
T
BA
C
AMD
BAC
WORK
VIAC
FB
NFLX
SNAP
TWTR
UBER
KO
PINS
TSLA
AVTR
MU
NVDA
ORCL
CMCSA
CTLT
PTON
KDP
MS
WDC
BSX
NKLA
FE
FCX
CCL
VZ
PLUG
PLTR
MRNA
GM
COP
OXY
AMAT
CCIV
CZR
MRK
HPQ
AAL
QS
RBLX
AMC
CLF
MTCH
BRO
LCID
