Date,Symbol,Exchange,garch,svr,mlp,LSTM
2022-03-12 03:38:18.409915,MSFT,NASDAQ,0.01495964553370057,[0.72422446],[0.72515825],[281.5084]
2022-03-12 03:38:18.409915,INTC,NASDAQ,0.015659936633428226,[1.18253687],[1.00765755],[53.685925]
2022-03-12 03:38:18.409915,EBAY,NASDAQ,0.03650750916146547,[1.340539],[1.13271568],[71.0751]
2022-03-12 03:38:18.409915,XOM,NYSE,0.025974519050041764,[1.71918885],[1.67501219],[56.183563]
2022-03-12 03:38:18.409915,AAPL,NASDAQ,0.02086417198492095,[1.01313011],[1.06334141],[102.70697]
2022-03-12 03:38:18.409915,UAL,NASDAQ,0.05732958651787916,[2.97563634],[2.83065996],[43.43527]
2022-03-12 03:38:18.409915,JPM,NYSE,0.01568067350378241,[1.13209815],[0.95059145],[148.22386]
2022-03-12 03:38:18.409915,DAL,NYSE,29.571549804817415,[3.14097295],[2.77417769],[42.74915]
2022-03-12 03:38:18.409915,DKNG,NASDAQ,0.11540714685565982,[1.89586188],[1.6885282],[60.322445]
2022-03-12 03:38:18.409915,USB,NYSE,0.02181448455334259,[1.64893325],[1.61024528],[54.691387]
2022-03-12 03:38:18.409915,WFC,NYSE,0.07195413264832293,[3.7048839],[3.43995819],[47.332264]
2022-03-12 03:38:18.409915,BMY,NYSE,0.016768907666393513,[1.00715623],[0.97240235],[65.3507]
2022-03-12 03:38:18.409915,CSCO,NASDAQ,0.018903301756175887,[0.67285132],[0.44675939],[57.255165]
2022-03-12 03:38:18.409915,PFE,NYSE,0.03144179946278641,[1.60786641],[1.5697274],[47.21451]
2022-03-12 03:38:18.409915,T,NYSE,0.010566319255502244,[1.08498485],[0.96448455],[27.900248]
2022-03-12 03:38:18.409915,BA,NYSE,0.03293992432755963,[1.93124937],[1.90353173],[238.1194]
2022-03-12 03:38:18.409915,C,NYSE,0.02800574444440277,[1.16649743],[1.21748911],[70.09402]
2022-03-12 03:38:18.409915,AMD,NASDAQ,0.07598885990846208,[2.37932156],[2.35013873],[85.630615]
2022-03-12 03:38:18.409915,BAC,NYSE,0.022447833716866025,[1.44804951],[1.35876873],[41.179214]
2022-03-12 03:38:18.409915,WORK,NYSE,0.08926551799791531,[0.56851912],[0.62477084],[36.60406]
